Document,Region,Frequency Band
47.pdf,- Magnetoencephalography,Alpha
47.pdf,- Magnetoencephalography,Beta
47.pdf,- Magnetoencephalography,Alpha
47.pdf,- Electrocorticography,Alpha
47.pdf,- Electrocorticography,Theta
47.pdf,- Electrocorticography,Alpha
47.pdf,- Electrocorticography,Beta
47.pdf,- Electrocorticography,Alpha
47.pdf,- Electroencephalography,Alpha
47.pdf,- Electroencephalography,Theta
AA3.pdf,Frontal,Theta
AA3.pdf,Central,Theta
AA3.pdf,Motor,Theta
AA3.pdf,Parietal,Theta
AA3.pdf,Temporal,Theta
AA3.pdf,Occipital,Theta
AA7.pdf,"df = pd.read_csv('input.txt', sep='",Alpha
43.pdf,Temporal,Alpha
43.pdf,Parietal,Alpha
IEA4.pdf,Frontal,Alpha
IEA4.pdf,Central,Alpha
IEA4.pdf,Motor,Alpha
IEA4.pdf,Parietal,Alpha
54.pdf,NO LOCATION,Alpha
54.pdf,NO LOCATION,Theta
54.pdf,NO LOCATION,Alpha
54.pdf,NO LOCATION,Beta
54.pdf,NO LOCATION,Alpha
IEA7.pdf,Occipital,Alpha
IEA7.pdf,Parietal,Alpha
IEA10.pdf,Frontal,Theta
52.pdf,Right anterior insula,Theta
52.pdf,Occipital regions,Theta
52.pdf,Default network,Alpha
52.pdf,Self-generated thought,Alpha
IEA1.pdf,Frontal,Theta
53.pdf,Occipital,Alpha
53.pdf,Parietal,Alpha
IEA3.pdf,Frontal,Alpha
IEA3.pdf,Frontal,Theta
IEA3.pdf,Frontal,Alpha
IEA3.pdf,Frontal,Beta
IEA3.pdf,Frontal,Alpha
IEA3.pdf,Frontal,Alpha
55.pdf,Frontal channels,Alpha
55.pdf,Frontal channels,Alpha
IEA5.pdf,Occipital Cortex,Alpha
IEA5.pdf,Frontal Cortex,Alpha
51.pdf,Right parietal cortex,Alpha
57.pdf,1. Frontal,Alpha
57.pdf,2. Occipital,Alpha
57.pdf,3. Parietal,Alpha
57.pdf,4. Temporal,Alpha
57.pdf,5. Cerebellum,Alpha
57.pdf,6. Thalamus,Alpha
57.pdf,7. Hypothalamus,Alpha
57.pdf,8. Amygdala,Alpha
57.pdf,9. Hippocampus,Alpha
57.pdf,10. Basal ganglia,Alpha
57.pdf,11. Brainstem,Alpha
57.pdf,12. Spinal cord,Alpha
57.pdf,13. Peripheral nervous system,Alpha
57.pdf,14. Autonomic nervous system,Alpha
57.pdf,15. Sympathetic nervous system,Alpha
57.pdf,16. Parasympathetic nervous system,Alpha
57.pdf,17. Endocrine system,Alpha
57.pdf,18. Immune system,Alpha
57.pdf,19. Digestive system,Alpha
57.pdf,20. Respiratory system,Alpha
57.pdf,21. Cardiovascular system,Alpha
57.pdf,22. Lymphatic system,Alpha
57.pdf,23. Musculoskeletal system,Alpha
57.pdf,24. Integumentary system,Alpha
57.pdf,25. Sensory system,Alpha
57.pdf,26. Auditory system,Alpha
57.pdf,27. Visual system,Alpha
57.pdf,28. Olfactory system,Alpha
57.pdf,29. Gustatory system,Alpha
57.pdf,30. Tactile system,Alpha
57.pdf,31. Proprioceptive system,Alpha
57.pdf,32. Vestibular system,Alpha
57.pdf,33. Thermoregulatory system,Alpha
57.pdf,34. Homeostatic system,Alpha
57.pdf,35. Metabolic system,Alpha
57.pdf,36. Reproductive system,Alpha
57.pdf,37. Urinary system,Alpha
57.pdf,38. Excretory system,Alpha
57.pdf,39. Nervous system,Alpha
57.pdf,40. Endocrine system,Alpha
57.pdf,41. Immune system,Alpha
57.pdf,42. Digestive system,Alpha
57.pdf,43. Respiratory system,Alpha
57.pdf,44. Cardiovascular system,Alpha
57.pdf,45. Lymphatic system,Alpha
57.pdf,46. Musculoskeletal system,Alpha
50.pdf,Frontal,Theta
50.pdf,Central,Theta
50.pdf,Motor,Theta
50.pdf,Parietal,Theta
50.pdf,Temporal,Theta
50.pdf,Occipital,Theta
17.pdf,Frontal,Alpha
17.pdf,Frontal,Theta
17.pdf,Parietal,Alpha
IEA6.pdf,Frontal,Alpha
IEA6.pdf,Frontal,Alpha
IEA6.pdf,Occipital,Alpha
IEA6.pdf,Occipital,Alpha
56.pdf,Parietal,Theta
56.pdf,Parietal,Alpha
56.pdf,Parietal,Beta
56.pdf,Parietal,Alpha
