Document,Region,Frequency Band
IEA8.pdf,Primary Somatosensory Cortex (S1),Alpha
IEA10.pdf,Frontal,Theta
IEA10.pdf,Central,Theta
IEA10.pdf,Motor,Theta
IEA10.pdf,Parietal,Theta
IEA10.pdf,Temporal,Theta
IEA10.pdf,Occipital,Theta
52.pdf,Frontal,Alpha
52.pdf,Frontal,Theta
52.pdf,Frontal,Alpha
52.pdf,Frontal,Beta
52.pdf,Frontal,Alpha
52.pdf,Occipital,Alpha
52.pdf,Occipital,Theta
IEA1.pdf,Frontal,Alpha
IEA1.pdf,Frontal,Theta
IEA1.pdf,Occipital,Alpha
IEA1.pdf,Occipital,Theta
IEA3.pdf,Frontal,Alpha
IEA3.pdf,Frontal,Theta
IEA3.pdf,Frontal,Alpha
IEA3.pdf,Frontal,Beta
55.pdf,Frontal,Alpha
55.pdf,Frontal,Alpha
55.pdf,Frontal,Theta
IEA5.pdf,Occipital Cortex,Alpha
IEA5.pdf,Frontal Cortex,Alpha
51.pdf,Parietal,Alpha
51.pdf,Parietal,Theta
51.pdf,Parietal,Alpha
IEA9.pdf,Frontal,Alpha
IEA9.pdf,Central,Theta
IEA9.pdf,Motor,Alpha
IEA9.pdf,Parietal,Beta
57.pdf,Frontal,Alpha
57.pdf,Temporal,Alpha
50.pdf,Frontal,Theta
50.pdf,Central,Theta
50.pdf,Motor,Theta
50.pdf,Parietal,Theta
17.pdf,Frontal,Alpha
17.pdf,Frontal,Theta
17.pdf,Parietal,Alpha
17.pdf,Parietal,Theta
IEA6.pdf,Frontal,Alpha
IEA6.pdf,Frontal,Alpha
IEA6.pdf,Occipital,Alpha
IEA6.pdf,Occipital,Alpha
IEA2.pdf,NO LOCATION,Alpha
IEA2.pdf,NO LOCATION,Theta
IEA2.pdf,NO LOCATION,Alpha
IEA2.pdf,NO LOCATION,Beta
IEA2.pdf,NO LOCATION,Alpha
56.pdf,parieto-occipital,Theta
56.pdf,parieto-occipital,Alpha
56.pdf,frontal,Alpha
