Document,Region,Frequency Band
44.pdf,- Parietal Cortex,Alpha
48.pdf,- Auditory Cortex,Theta
48.pdf,- Visual Cortex,Alpha
AA5.pdf,Frontal,Alpha
AA5.pdf,Temporal,Alpha
AA5.pdf,Auditory Cortex,Alpha
38.pdf,FrontalNetwork,Theta
38.pdf,AnteriorandPosteriorCingulate,Theta
38.pdf,TheTemporalCortexNetworkforAuditoryAttention,Theta
38.pdf,PassiveListening,Theta
47.pdf,- Scientific RepoRtS,Alpha
47.pdf,- Scientific RepoRtS,Theta
47.pdf,- Scientific RepoRtS,Alpha
47.pdf,- Scientific RepoRtS,Beta
47.pdf,- Scientific RepoRtS,Alpha
47.pdf,- Magnetoencephalography,Alpha
47.pdf,- Magnetoencephalography,Theta
47.pdf,- Magnetoencephalography,Alpha
47.pdf,- Magnetoencephalography,Beta
47.pdf,- Magnetoencephalography,Alpha
AA7.pdf,Frontal,Theta
AA7.pdf,Central,Theta
AA7.pdf,Motor,Theta
AA7.pdf,Parietal,Theta
AA7.pdf,Temporal,Theta
AA7.pdf,Occipital,Theta
43.pdf,Temporal,Alpha
43.pdf,Parietal,Alpha
AA6.pdf,- Developing Decoding Algorithms,Theta
AA6.pdf,- Endogenous Attention Switching,Theta
AA6.pdf,- Multitalker Listening Environments,Theta
AA6.pdf,- Experimental Protocol,Theta
AA6.pdf,- Competing Talkers,Theta
AA6.pdf,- Successful Switching,Theta
AA6.pdf,- Significant Difference,Theta
AA6.pdf,- Instructed Switching,Theta
AA6.pdf,- Allowed Switching,Theta
AA6.pdf,- Overall Findings,Theta
IEA4.pdf,Frontal,Alpha
IEA4.pdf,Central,Alpha
IEA4.pdf,Motor,Alpha
IEA4.pdf,Parietal,Alpha
54.pdf,NO LOCATION,Alpha
54.pdf,NO LOCATION,Theta
54.pdf,NO LOCATION,Alpha
54.pdf,NO LOCATION,Beta
54.pdf,NO LOCATION,Alpha
IEA7.pdf,Parietal,Alpha
IEA7.pdf,Frontal,Alpha
IEA8.pdf,Primary somatosensory cortex (S1),Alpha
IEA8.pdf,Primary somatosensory cortex (S1),Alpha
IEA10.pdf,Frontal,Theta
IEA10.pdf,Parietal,Theta
52.pdf,Frontal,Theta
52.pdf,Central,Theta
52.pdf,Motor,Theta
52.pdf,Parietal,Theta
52.pdf,Temporal,Theta
52.pdf,Occipital,Theta
IEA1.pdf,Frontal,Alpha
IEA1.pdf,Frontal,Theta
53.pdf,Frontal,Alpha
53.pdf,Central,Alpha
53.pdf,Motor,Alpha
53.pdf,Parietal,Alpha
53.pdf,Temporal,Alpha
53.pdf,Occipital,Alpha
IEA3.pdf,Frontal,Alpha
IEA3.pdf,Frontal,Theta
IEA3.pdf,Frontal,Alpha
IEA3.pdf,Frontal,Beta
IEA3.pdf,Frontal,Alpha
IEA3.pdf,Frontal,Alpha
55.pdf,Frontal,Alpha
55.pdf,Frontal,Alpha
55.pdf,Frontal,Theta
IEA5.pdf,Occipital Cortex,Alpha
IEA5.pdf,Frontal Cortex,Alpha
51.pdf,Right parietal cortex,Alpha
50.pdf,Frontal,Theta
50.pdf,Central,Theta
50.pdf,Motor,Theta
50.pdf,Parietal,Theta
50.pdf,Temporal,Theta
50.pdf,Occipital,Theta
17.pdf,Frontal,Alpha
17.pdf,Frontal,Theta
17.pdf,Parietal,Alpha
IEA6.pdf,Left Occipital Cortex,Alpha
IEA6.pdf,Left Occipital Cortex,Alpha
IEA6.pdf,Central,Alpha
IEA6.pdf,Central,Alpha
56.pdf,Parietal,Theta
56.pdf,Parietal,Alpha
56.pdf,Frontal,Alpha
