Document,Region,Frequency Band
MI7.pdf,"print(""NO LOCATION",Alpha
MI7.pdf,"print(""NO LOCATION",Beta
MI7.pdf,"print(""NO LOCATION",Alpha
MI7.pdf,"print(f""{brain_region}",Theta
MI7.pdf,"print(f""{brain_region}",Alpha
MI7.pdf,"print(f""{brain_region}",Beta
MI7.pdf,"print(f""{brain_region}",Alpha
MI7.pdf,NO LOCATION,Theta
MI7.pdf,NO LOCATION,Alpha
MI7.pdf,NO LOCATION,Beta
MI7.pdf,NO LOCATION,Alpha
MI7.pdf,Frontal,Theta
MI7.pdf,Frontal,Alpha
MI7.pdf,Frontal,Beta
MI7.pdf,Frontal,Alpha
MI7.pdf,Central,Theta
MI7.pdf,Central,Alpha
MI7.pdf,Central,Beta
MI7.pdf,Central,Alpha
MI7.pdf,Motor,Theta
MI7.pdf,Motor,Alpha
MI7.pdf,Motor,Beta
MI7.pdf,Motor,Alpha
MI7.pdf,Parietal,Theta
MI7.pdf,Parietal,Alpha
MI7.pdf,Parietal,Beta
MI7.pdf,Parietal,Alpha
MI7.pdf,Temporal,Theta
MI7.pdf,Temporal,Alpha
MI7.pdf,Temporal,Beta
MI7.pdf,Temporal,Alpha
MI7.pdf,Occipital,Theta
MI7.pdf,Occipital,Alpha
MI7.pdf,Occipital,Beta
MI7.pdf,Occipital,Alpha
MI7.pdf,"""Brain",Theta
MI7.pdf,"""Brain",Alpha
MI7.pdf,"""Brain",Alpha
MI7.pdf,"""Brain",Beta
MI7.pdf,"""Brain",Alpha
MI7.pdf,"print(""NO LOCATION",Theta
MI7.pdf,"print(""NO LOCATION",Alpha
MI7.pdf,"print(""NO LOCATION",Beta
MI7.pdf,"print(""NO LOCATION",Alpha
MI7.pdf,"print(f""{brain_region}",Theta
MI7.pdf,"print(f""{brain_region}",Alpha
MI7.pdf,"print(f""{brain_region}",Beta
MI6.pdf,Frontal,Alpha
MI6.pdf,Frontal,Alpha
MI6.pdf,Central,Alpha
MI6.pdf,Central,Alpha
MI6.pdf,Motor,Alpha
MI6.pdf,Motor,Alpha
MI6.pdf,Parietal,Alpha
MI6.pdf,Parietal,Alpha
MI6.pdf,Temporal,Alpha
MI6.pdf,Temporal,Alpha
MI6.pdf,Occipital,Alpha
MI6.pdf,Occipital,Alpha
MI6.pdf,Frontal,Alpha
MI6.pdf,Frontal,Alpha
MI6.pdf,Central,Alpha
MI6.pdf,Central,Alpha
MI6.pdf,Motor,Alpha
MI6.pdf,Motor,Alpha
MI6.pdf,Parietal,Alpha
MI6.pdf,Parietal,Alpha
MI6.pdf,Temporal,Alpha
MI6.pdf,Temporal,Alpha
MI6.pdf,Occipital,Alpha
MI6.pdf,Occipital,Alpha
MI6.pdf,Frontal,Alpha
MI6.pdf,Frontal,Alpha
MI13.pdf,Frontal,Alpha
MI13.pdf,Frontal,Theta
MI13.pdf,Frontal,Alpha
MI13.pdf,Frontal,Beta
MI13.pdf,Frontal,Alpha
MI11.pdf,Frontal,Alpha
MI11.pdf,Central,Alpha
MI11.pdf,Motor,Alpha
MI11.pdf,Motor,Alpha
MI11.pdf,Motor,Alpha
MI11.pdf,Motor,Alpha
MI11.pdf,Motor,Alpha
MI11.pdf,Motor,Alpha
MI11.pdf,Motor,Alpha
MI11.pdf,Motor,Alpha
MI11.pdf,Motor,Alpha
MI11.pdf,Motor,Alpha
MI11.pdf,Motor,Alpha
MI11.pdf,Motor,Alpha
MI11.pdf,Motor,Alpha
MI11.pdf,Motor,Alpha
MI11.pdf,Motor,Alpha
MI11.pdf,Motor,Alpha
MI11.pdf,Motor,Alpha
MI11.pdf,Motor,Alpha
MI11.pdf,Motor,Alpha
MI11.pdf,Motor,Alpha
MI11.pdf,Motor,Alpha
MI11.pdf,Motor,Alpha
MI11.pdf,Motor,Alpha
MI11.pdf,Motor,Alpha
MI11.pdf,Motor,Alpha
MI11.pdf,Motor,Alpha
MI11.pdf,Motor,Alpha
MI11.pdf,Motor,Alpha
MI11.pdf,Motor,Alpha
MI11.pdf,Motor,Alpha
MI11.pdf,Motor,Alpha
MI11.pdf,Motor,Alpha
MI11.pdf,Motor,Alpha
MI11.pdf,Motor,Alpha
MI11.pdf,Motor,Alpha
MI11.pdf,Motor,Alpha
MI11.pdf,Motor,Alpha
MI11.pdf,Motor,Alpha
MI11.pdf,Motor,Alpha
MI11.pdf,Motor,Alpha
MI11.pdf,Motor,Alpha
MI11.pdf,Motor,Alpha
MI11.pdf,Motor,Alpha
MI11.pdf,Motor,Alpha
MI11.pdf,Motor,Alpha
MI11.pdf,Motor,Alpha
MI11.pdf,Motor,Alpha
MI11.pdf,Motor,Alpha
MI11.pdf,Motor,Alpha
MI11.pdf,Motor,Alpha
MI11.pdf,Motor,Alpha
MI11.pdf,Motor,Alpha
MI11.pdf,Motor,Alpha
MI11.pdf,Motor,Alpha
MI11.pdf,Motor,Alpha
MI11.pdf,Motor,Alpha
MI11.pdf,Motor,Alpha
MI11.pdf,Motor,Alpha
MI11.pdf,Motor,Alpha
MI11.pdf,Motor,Alpha
MI11.pdf,Motor,Alpha
MI11.pdf,Motor,Alpha
MI11.pdf,Motor,Alpha
MI11.pdf,Motor,Alpha
MI11.pdf,Motor,Alpha
MI11.pdf,Motor,Alpha
MI11.pdf,Motor,Alpha
MI11.pdf,Motor,Alpha
MI11.pdf,Motor,Alpha
MI11.pdf,Motor,Alpha
MI11.pdf,Motor,Alpha
MI11.pdf,Motor,Alpha
MI11.pdf,Motor,Alpha
MI11.pdf,Motor,Alpha
MI11.pdf,Motor,Alpha
MI11.pdf,Motor,Alpha
MI11.pdf,Motor,Alpha
MI11.pdf,Motor,Alpha
MI11.pdf,Motor,Alpha
MI11.pdf,Motor,Alpha
MI11.pdf,Motor,Alpha
MI11.pdf,Motor,Alpha
MI11.pdf,Motor,Alpha
MI11.pdf,Motor,Alpha
MI11.pdf,Motor,Alpha
MI11.pdf,Motor,Alpha
MI11.pdf,Motor,Alpha
MI11.pdf,Motor,Alpha
MI11.pdf,Motor,Alpha
MI11.pdf,Motor,Alpha
MI11.pdf,Motor,Alpha
MI11.pdf,Motor,Alpha
MI11.pdf,Motor,Alpha
MI11.pdf,Motor,Alpha
MI11.pdf,Motor,Alpha
MI11.pdf,Motor,Alpha
MI11.pdf,Motor,Alpha
MI11.pdf,Motor,Alpha
MI11.pdf,Motor,Alpha
MI11.pdf,Motor,Alpha
MI11.pdf,Motor,Alpha
MI11.pdf,Motor,Alpha
MI11.pdf,Motor,Alpha
MI11.pdf,Motor,Alpha
MI11.pdf,Motor,Alpha
MI11.pdf,Motor,Alpha
MI11.pdf,Motor,Alpha
MI11.pdf,Motor,Alpha
MI11.pdf,Motor,Alpha
MI11.pdf,Motor,Alpha
MI11.pdf,Motor,Alpha
MI11.pdf,Motor,Alpha
MI11.pdf,Motor,Alpha
MI11.pdf,Motor,Alpha
MI11.pdf,Motor,Alpha
MI11.pdf,Motor,Alpha
MI11.pdf,Motor,Alpha
MI11.pdf,Motor,Alpha
MI11.pdf,Motor,Alpha
MI11.pdf,Motor,Alpha
MI11.pdf,Motor,Alpha
MI11.pdf,Motor,Alpha
MI11.pdf,Motor,Alpha
MI11.pdf,Motor,Alpha
MI11.pdf,Motor,Alpha
MI11.pdf,Motor,Alpha
MI11.pdf,Motor,Alpha
MI11.pdf,Motor,Alpha
MI11.pdf,Motor,Alpha
MI11.pdf,Motor,Alpha
MI11.pdf,Motor,Alpha
MI11.pdf,Motor,Alpha
MI11.pdf,Motor,Alpha
MI11.pdf,Motor,Alpha
MI11.pdf,Motor,Alpha
MI11.pdf,Motor,Alpha
MI11.pdf,Motor,Alpha
MI11.pdf,Motor,Alpha
MI11.pdf,Motor,Alpha
MI11.pdf,Motor,Alpha
MI11.pdf,Motor,Alpha
MI11.pdf,Motor,Alpha
MI11.pdf,Motor,Alpha
MI11.pdf,Motor,Alpha
MI11.pdf,Motor,Alpha
MI11.pdf,Motor,Alpha
MI11.pdf,Motor,Alpha
MI11.pdf,Motor,Alpha
MI11.pdf,Motor,Alpha
MI11.pdf,Motor,Alpha
MI11.pdf,Motor,Alpha
MI11.pdf,Motor,Alpha
MI11.pdf,Motor,Alpha
MI11.pdf,Motor,Alpha
MI11.pdf,Motor,Alpha
MI11.pdf,Motor,Alpha
MI11.pdf,Motor,Alpha
MI11.pdf,Motor,Alpha
MI11.pdf,Motor,Alpha
MI11.pdf,Motor,Alpha
MI11.pdf,Motor,Alpha
MI11.pdf,Motor,Alpha
MI11.pdf,Motor,Alpha
MI11.pdf,Motor,Alpha
MI11.pdf,Motor,Alpha
MI11.pdf,Motor,Alpha
MI11.pdf,Motor,Alpha
MI11.pdf,Motor,Alpha
MI11.pdf,Motor,Alpha
MI11.pdf,Motor,Alpha
MI11.pdf,Motor,Alpha
MI11.pdf,Motor,Alpha
MI11.pdf,Motor,Alpha
MI11.pdf,Motor,Alpha
MI11.pdf,Motor,Alpha
MI11.pdf,Motor,Alpha
MI11.pdf,Motor,Alpha
MI11.pdf,Motor,Alpha
MI11.pdf,Motor,Alpha
MI11.pdf,Motor,Alpha
MI11.pdf,Motor,Alpha
MI11.pdf,Motor,Alpha
MI11.pdf,Motor,Alpha
MI11.pdf,Motor,Alpha
MI11.pdf,Motor,Alpha
MI11.pdf,Motor,Alpha
MI11.pdf,Motor,Alpha
MI11.pdf,Motor,Alpha
MI11.pdf,Motor,Alpha
MI11.pdf,Motor,Alpha
MI11.pdf,Motor,Alpha
MI11.pdf,Motor,Alpha
MI11.pdf,Motor,Alpha
MI11.pdf,Motor,Alpha
MI11.pdf,Motor,Alpha
MI11.pdf,Motor,Alpha
MI11.pdf,Motor,Alpha
MI11.pdf,Motor,Alpha
MI11.pdf,Motor,Alpha
MI11.pdf,Motor,Alpha
MI11.pdf,Motor,Alpha
MI11.pdf,Motor,Alpha
MI11.pdf,Motor,Alpha
MI11.pdf,Motor,Alpha
MI11.pdf,Motor,Alpha
MI11.pdf,Motor,Alpha
MI11.pdf,Motor,Alpha
MI11.pdf,Motor,Alpha
MI11.pdf,Motor,Alpha
MI11.pdf,Motor,Alpha
MI11.pdf,Motor,Alpha
MI11.pdf,Motor,Alpha
MI11.pdf,Motor,Alpha
MI11.pdf,Motor,Alpha
MI11.pdf,Motor,Alpha
MI11.pdf,Motor,Alpha
MI11.pdf,Motor,Alpha
MI11.pdf,Motor,Alpha
MI11.pdf,Motor,Alpha
MI11.pdf,Motor,Alpha
MI11.pdf,Motor,Alpha
MI11.pdf,Motor,Alpha
MI11.pdf,Motor,Alpha
MI11.pdf,Motor,Alpha
MI11.pdf,Motor,Alpha
MI11.pdf,Motor,Alpha
MI11.pdf,Motor,Alpha
MI11.pdf,Motor,Alpha
MI11.pdf,Motor,Alpha
MI11.pdf,Motor,Alpha
MI11.pdf,Motor,Alpha
MI11.pdf,Motor,Alpha
MI11.pdf,Motor,Alpha
MI11.pdf,Motor,Alpha
MI11.pdf,Motor,Alpha
MI11.pdf,Motor,Alpha
MI11.pdf,Motor,Alpha
MI11.pdf,Motor,Alpha
MI11.pdf,Motor,Alpha
MI11.pdf,Motor,Alpha
MI11.pdf,Motor,Alpha
MI11.pdf,Motor,Alpha
MI11.pdf,Motor,Alpha
MI11.pdf,Motor,Alpha
MI11.pdf,Motor,Alpha
MI11.pdf,Motor,Alpha
MI11.pdf,Motor,Alpha
MI11.pdf,Motor,Alpha
MI11.pdf,Motor,Alpha
MI11.pdf,Motor,Alpha
MI11.pdf,Motor,Alpha
MI11.pdf,Motor,Alpha
MI11.pdf,Motor,Alpha
MI11.pdf,Motor,Alpha
MI11.pdf,Motor,Alpha
MI11.pdf,Motor,Alpha
MI11.pdf,Motor,Alpha
MI11.pdf,Motor,Alpha
MI11.pdf,Motor,Alpha
MI11.pdf,Motor,Alpha
MI11.pdf,Motor,Alpha
MI11.pdf,Motor,Alpha
MI11.pdf,Motor,Alpha
MI11.pdf,Motor,Alpha
MI11.pdf,Motor,Alpha
MI11.pdf,Motor,Alpha
MI11.pdf,Motor,Alpha
MI11.pdf,Motor,Alpha
MI11.pdf,Motor,Alpha
MI11.pdf,Motor,Alpha
MI11.pdf,Motor,Alpha
MI11.pdf,Motor,Alpha
MI11.pdf,Motor,Alpha
MI14.pdf,Frontal,Theta
MI14.pdf,Frontal,Alpha
MI14.pdf,Frontal,Alpha
MI14.pdf,Frontal,Beta
MI14.pdf,Frontal,Alpha
MI14.pdf,Central,Alpha
MI14.pdf,Central,Theta
MI14.pdf,Central,Alpha
MI14.pdf,Central,Beta
MI14.pdf,Central,Alpha
MI14.pdf,Motor,Alpha
MI14.pdf,Motor,Theta
MI14.pdf,Motor,Alpha
MI14.pdf,Motor,Beta
MI14.pdf,Motor,Alpha
MI14.pdf,Parietal,Alpha
MI14.pdf,Parietal,Theta
MI14.pdf,Parietal,Alpha
MI14.pdf,Parietal,Beta
MI14.pdf,Parietal,Alpha
MI14.pdf,Temporal,Alpha
MI14.pdf,Temporal,Theta
MI14.pdf,Temporal,Alpha
MI14.pdf,Temporal,Beta
MI14.pdf,Temporal,Alpha
MI14.pdf,Occipital,Alpha
MI14.pdf,Occipital,Theta
MI14.pdf,Occipital,Alpha
MI14.pdf,Occipital,Beta
MI14.pdf,Occipital,Alpha
MI14.pdf,NO LOCATION,Alpha
MI14.pdf,NO LOCATION,Theta
MI14.pdf,NO LOCATION,Alpha
MI14.pdf,NO LOCATION,Beta
MI14.pdf,NO LOCATION,Alpha
41.pdf,Frontal,Alpha
41.pdf,Frontal,Theta
41.pdf,Frontal,Alpha
41.pdf,Frontal,Beta
41.pdf,Frontal,Alpha
41.pdf,Central,Alpha
41.pdf,Central,Theta
41.pdf,Central,Alpha
41.pdf,Central,Beta
41.pdf,Central,Alpha
41.pdf,Motor,Alpha
41.pdf,Motor,Theta
41.pdf,Motor,Alpha
41.pdf,Motor,Beta
41.pdf,Motor,Alpha
41.pdf,Parietal,Alpha
41.pdf,Parietal,Theta
41.pdf,Parietal,Alpha
41.pdf,Parietal,Beta
41.pdf,Parietal,Alpha
41.pdf,Temporal,Alpha
41.pdf,Temporal,Theta
41.pdf,Temporal,Alpha
41.pdf,Temporal,Beta
41.pdf,Temporal,Alpha
41.pdf,Occipital,Alpha
41.pdf,Occipital,Theta
41.pdf,Occipital,Alpha
41.pdf,Occipital,Beta
41.pdf,Occipital,Alpha
41.pdf,Motor cortex,Alpha
41.pdf,Motor cortex,Theta
41.pdf,Motor cortex,Alpha
41.pdf,Motor cortex,Beta
41.pdf,Motor cortex,Alpha
41.pdf,Visuo-motor cortex,Alpha
41.pdf,Visuo-motor cortex,Theta
41.pdf,Visuo-motor cortex,Alpha
41.pdf,Visuo-motor cortex,Beta
41.pdf,Visuo-motor cortex,Alpha
41.pdf,"location, frequency_band = line.split('",Alpha
41.pdf,"processed_lines.append(f""{brain_region}",Alpha
41.pdf,Motor,Alpha
41.pdf,Motor,Theta
41.pdf,Motor,Alpha
41.pdf,Motor,Beta
41.pdf,Motor,Alpha
41.pdf,Motor,Alpha
41.pdf,Motor,Theta
41.pdf,Motor,Alpha
41.pdf,Motor,Beta
41.pdf,Motor,Alpha
46.pdf,Frontal,Beta
46.pdf,Frontal,Alpha
46.pdf,Frontal,Alpha
46.pdf,Frontal,Alpha
46.pdf,Frontal,Theta
46.pdf,Central,Beta
46.pdf,Central,Alpha
46.pdf,Central,Alpha
46.pdf,Central,Alpha
46.pdf,Central,Theta
46.pdf,Motor,Beta
46.pdf,Motor,Alpha
46.pdf,Motor,Alpha
46.pdf,Motor,Alpha
46.pdf,Motor,Theta
46.pdf,Parietal,Beta
46.pdf,Parietal,Alpha
46.pdf,Parietal,Alpha
46.pdf,Parietal,Alpha
46.pdf,Parietal,Theta
46.pdf,Temporal,Beta
46.pdf,Temporal,Alpha
46.pdf,Temporal,Alpha
46.pdf,Temporal,Alpha
46.pdf,Temporal,Theta
46.pdf,Occipital,Beta
46.pdf,Occipital,Alpha
46.pdf,Occipital,Alpha
46.pdf,Occipital,Alpha
46.pdf,Occipital,Theta
46.pdf,Frontal,Beta
46.pdf,Frontal,Alpha
46.pdf,Frontal,Alpha
46.pdf,Frontal,Alpha
46.pdf,Frontal,Theta
46.pdf,Central,Beta
46.pdf,Central,Alpha
46.pdf,Central,Alpha
46.pdf,Central,Alpha
46.pdf,Central,Theta
46.pdf,Motor,Beta
46.pdf,Motor,Alpha
46.pdf,Motor,Alpha
46.pdf,Motor,Alpha
46.pdf,Motor,Theta
46.pdf,Parietal,Beta
AA1.pdf,Motor Cortex,Alpha
AA1.pdf,Motor Cortex,Beta
AA1.pdf,Motor Cortex,Beta
AA1.pdf,Parietal Region,Alpha
AA1.pdf,Cortico-Striatal Network,Alpha
AA1.pdf,Motor Cortex,Alpha
AA1.pdf,Motor Cortex,Alpha
AA1.pdf,Motor Cortex,Theta
AA1.pdf,Motor Cortex,Alpha
AA1.pdf,Motor Cortex,Beta
AA1.pdf,Motor Cortex,Alpha
AA1.pdf,Motor Cortex,Alpha
AA1.pdf,Motor Cortex,Theta
AA1.pdf,Motor Cortex,Alpha
AA1.pdf,Motor Cortex,Beta
AA1.pdf,Motor Cortex,Alpha
AA1.pdf,Motor Cortex,Alpha
AA1.pdf,Motor Cortex,Theta
AA1.pdf,Motor Cortex,Alpha
AA1.pdf,Motor Cortex,Beta
AA1.pdf,Motor Cortex,Alpha
AA1.pdf,Motor Cortex,Alpha
AA1.pdf,Motor Cortex,Theta
AA1.pdf,Motor Cortex,Alpha
AA1.pdf,Motor Cortex,Beta
AA1.pdf,Motor Cortex,Alpha
AA1.pdf,Motor Cortex,Alpha
AA1.pdf,Motor Cortex,Theta
AA1.pdf,Motor Cortex,Alpha
AA1.pdf,Motor Cortex,Beta
AA1.pdf,Motor Cortex,Alpha
AA1.pdf,Motor Cortex,Alpha
AA1.pdf,Motor Cortex,Theta
AA1.pdf,Motor Cortex,Alpha
AA1.pdf,Motor Cortex,Beta
AA1.pdf,Motor Cortex,Alpha
44.pdf,Frontal,Alpha
44.pdf,Frontal,Alpha
44.pdf,Frontal,Theta
44.pdf,Frontal,Alpha
44.pdf,Frontal,Beta
44.pdf,Frontal,Alpha
44.pdf,Central,Alpha
44.pdf,Central,Alpha
44.pdf,Central,Theta
44.pdf,Central,Alpha
44.pdf,Central,Beta
44.pdf,Central,Alpha
44.pdf,Motor,Alpha
44.pdf,Motor,Alpha
44.pdf,Motor,Theta
44.pdf,Motor,Alpha
44.pdf,Motor,Beta
44.pdf,Motor,Alpha
44.pdf,Parietal,Alpha
44.pdf,Parietal,Alpha
44.pdf,Parietal,Theta
44.pdf,Parietal,Alpha
44.pdf,Parietal,Beta
44.pdf,Parietal,Alpha
44.pdf,Temporal,Alpha
44.pdf,Temporal,Alpha
44.pdf,Temporal,Theta
44.pdf,Temporal,Alpha
44.pdf,Temporal,Beta
44.pdf,Temporal,Alpha
44.pdf,Occipital,Alpha
44.pdf,Occipital,Alpha
44.pdf,Occipital,Theta
44.pdf,Occipital,Alpha
44.pdf,Occipital,Beta
44.pdf,Occipital,Alpha
44.pdf,Auditory areas,Alpha
44.pdf,Parietal areas,Alpha
44.pdf,Visual areas,Alpha
44.pdf,Auditory areas,Alpha
44.pdf,Auditory areas,Theta
44.pdf,Auditory areas,Alpha
44.pdf,Auditory areas,Beta
44.pdf,Auditory areas,Alpha
44.pdf,Parietal areas,Alpha
44.pdf,Parietal areas,Theta
44.pdf,Parietal areas,Alpha
44.pdf,Parietal areas,Beta
44.pdf,Parietal areas,Alpha
44.pdf,Visual areas,Alpha
48.pdf,Auditory cortex,Alpha
48.pdf,Auditory cortex,Beta
48.pdf,Auditory cortex,Alpha
48.pdf,Prefrontal cortex,Alpha
48.pdf,Prefrontal cortex,Beta
48.pdf,Prefrontal cortex,Alpha
48.pdf,Parietal cortex,Alpha
48.pdf,Parietal cortex,Beta
48.pdf,Parietal cortex,Alpha
48.pdf,Frontopolar site,Alpha
