Document,Region,Frequency Band
57.pdf,31. Gustatory system,Alpha
57.pdf,32. Tactile system,Alpha
57.pdf,33. Proprioceptive system,Alpha
57.pdf,34. Vestibular system,Alpha
57.pdf,35. Nociceptive system,Alpha
57.pdf,36. Thermoregulatory system,Alpha
57.pdf,37. Homeostatic system,Alpha
57.pdf,38. Metabolic system,Alpha
57.pdf,39. Neuroendocrine system,Alpha
57.pdf,40. Neuroimmune system,Alpha
57.pdf,41. Neuromuscular system,Alpha
57.pdf,42. Neurosensory system,Alpha
57.pdf,43. Neurobehavioral system,Alpha
57.pdf,44. Neurocognitive system,Alpha
57.pdf,45. Neurodevelopmental system,Alpha
57.pdf,46. Neurodegenerative system,Alpha
57.pdf,47. Neuroplasticity system,Alpha
57.pdf,48. Neurogenesis system,Alpha
57.pdf,49. Neuroregeneration system,Alpha
57.pdf,50. Neuroprotection system,Alpha
57.pdf,51. Neurorehabilitation system,Alpha
57.pdf,52. Neurostimulation system,Alpha
57.pdf,53. Neurofeedback system,Alpha
57.pdf,54. Neuroimaging system,Alpha
57.pdf,55. Neuropharmacology system,Alpha
57.pdf,56. Neurogenetics system,Alpha
57.pdf,57. Neuroepigenetics system,Alpha
17.pdf,Frontal,Alpha
17.pdf,Frontal,Theta
17.pdf,Parietal,Alpha
17.pdf,Parietal,Theta
